file,orig_len_sec,dc_offset_db,dc_flagged,final_len_sec,language,vad_warning
/content/drive/MyDrive/Audio_dataset/Bengali/11161.mp3,4.977,-100.84,False,4.913,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11813.mp3,4.977,-116.32,False,4.576,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11590.mp3,4.977,-106.47,False,4.849,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11769.mp3,4.981,-112.96,False,4.981,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10371.mp3,4.981,-112.73,False,4.373,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11406.mp3,5.004,-96.54,False,5.004,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10850.mp3,5.004,-110.72,False,5.004,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10618.mp3,4.981,-106.54,False,4.981,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/1074.mp3,5.004,-126.24,False,4.96,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10765.mp3,4.981,-126.26,False,4.352,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11670.mp3,5.005,-119.49,False,4.973,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11246.mp3,4.981,-113.74,False,3.904,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/1204.mp3,4.977,-89.87,False,4.977,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11960.mp3,4.981,-123.72,False,4.768,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11958.mp3,4.981,-111.07,False,4.981,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11602.mp3,4.981,-110.09,False,4.981,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11671.mp3,5.004,-102.79,False,4.832,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/1027.mp3,4.981,-146.12,False,4.832,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10296.mp3,5.005,-114.56,False,5.005,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11683.mp3,5.004,-113.96,False,5.004,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11306.mp3,4.977,-121.81,False,4.945,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11969.mp3,4.981,-102.62,False,4.48,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11044.mp3,4.981,-101.99,False,4.981,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10503.mp3,4.981,-114.02,False,4.117,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11507.mp3,4.977,-121.3,False,4.928,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11804.mp3,5.004,-95.61,False,4.448,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11627.mp3,5.004,-105.65,False,0.512,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/12040.mp3,4.981,-107.19,False,4.928,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11368.mp3,4.977,-118.5,False,4.928,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11779.mp3,5.004,-94.37,False,4.48,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10436.mp3,4.981,-115.21,False,4.949,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11474.mp3,5.005,-103.76,False,4.608,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10701.mp3,4.977,-123.78,False,4.32,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11701.mp3,5.004,-112.42,False,4.972,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10602.mp3,5.005,-105.06,False,3.456,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11440.mp3,4.977,-95.78,False,4.945,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11028.mp3,4.981,-126.27,False,4.181,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11071.mp3,4.981,-111.43,False,2.773,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/1132.mp3,4.981,-109.24,False,4.981,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/10901.mp3,4.981,-118.29,False,4.917,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/1053.mp3,5.005,-104.01,False,5.005,Bengali,
/content/drive/MyDrive/Audio_dataset/Bengali/11463.mp3,4.981,-112.69,False,4.949,Bengali,
